text,Label
"""Daftar stimulan prestasi non akademik skoring 398.579 tapi gak lolos verifikasi dgn alasan sertifikat tidak sesuai juknis. Baru sadar walau juara 1 internasional kalau penyelenggaranya bukan dari kemendikbud etc ditolak :) apa effort supaya dpt juara 1 internasional dgn penyelenggara kampus etc beda gitu ya lebih effortless kali ya :)""",Negatif
"""YG GA TERIMA ????""",Negatif
"""SKORING NYA KETINGGIAN. KAMPUS DI BALIKPAPAN NIH AKRED B PRODI B. ANEH PERATURAN NYA KACAU""",Negatif
"""Kok tiba?ý gak masuk skoring padahalnya nilainya masuk""",Negatif
"""@donrachman8 stimulan akademik tahap IV tipis banget tuh turunnya wahaha syedih""",Negatif
"""Ganti gubernur""",Negatif
"""@almuzakii @xbuzz46 modal ipk pas2an sama akre prodi c mau berharap apa guys""",Negatif
"""Kenapa yg S2 skor nya tinggi bgt sii""",Negatif
"""@deswita.scj saddd bgt????""",Negatif
"""siapa yg menjadi prioritas beasiswa???apakah putraputri kaltim?? kuliah dikampung sendiri aja ngga bisa dpt bktƒ??.bgmana dg anak asli kaltim dari kab/kota yg kuliah di unmul""",Negatif
"""gajelas""",Negatif
"""Pantass banyak ga lolos min dananya kemana aj kmre kmren banyak yg dpt skrng malah dikti banget ternyta jatah nya dikurngin kocakk""",Negatif
"""rupanya anggaran dipotong pj????""",Negatif
"""PJ bobrok""",Negatif
"""tinggiin terossss skoringnya bos""",Negatif
"""Oh ternyata tenyata dipangkas Ama PJ :"")""",Negatif
"""oh ternyata dananya dipotong dari 250M jadi 200M ama PJ???? oh gitu ya...""",Negatif
"""dananya di pangkas 50m dlu gasii""",Negatif
"""Korupsi ya pak ?""",Negatif
"""dananya dikorupsi ???""",Negatif
"""@firlyannda @vitriaa24 ah udh ga kaget knapa skoringnya setinggi ini wkwk ytta ???""",Negatif
"""@nadimass_ sekelas kampus pendidikan nomor  1 aja ga dikasih ????""",Negatif
"""hasil skoring saya 303.091 dgn IPK 3.64 harus gimana lagi biar dpt beasiswa ini ya cuma dpt hikmahnya aja????""",Negatif
"""univ & prodi akre A juga gak ngaruh ya? padahal jelas bgt tertera min ipk 3.25 yang artinya diatas itu masih masuk skoring tp di web tidak masuk batas skoring:))""",Negatif
"""ADMINNNN AAARRGGG NANGISS BNGT BUTUH BUAT SKRIPSI ????????""",Negatif
"""Malam2 anakku telp dari malang menangis dia katanya ngk lolos beasiswa stimulan padahal kampusnya Brawijaya akreditas Abdan nilai skor menyukupi.. malah ada yg di bawah dia malah lolos aneeeh""",Negatif
"""@alpatnoor benar beasiswa banyak aturan...mending sekolah gratis aja dari pada beasiswa""",Negatif
"""Udah upload transkrip nilai plus IPK tercantum malah ditolak dgn alasan bukan dokumen IPK. Org yg verifikasinya ga beres nih""",Negatif
"""haha saya harus cari duit dimana buat bayat UKT selanjutnya????""",Negatif
"""Sperti gak fair sj""",Negatif
"""@alpatnoor itu sudah tahun sebelumnya aman aja kenapa kah tahun ini kada beres untuk persyaratan masi sama kenapakah kada lolos ????""",Negatif
"""Dananya fokus buat ikn""",Negatif
"""@fionadika dananya di sunat buat IKN???œ""",Negatif
"""skoring nya tinggi banget min ???› kecewaa ??®ÿ""",Negatif
"""Emang ada yg lolos skoring kayak gini...lha IPK 4 akre B aja gak lolos""",Negatif
"""lawak bgt sih asli ini mah dikorupt wkwk""",Negatif
"""@alieffahrizha nilai nya disuruh setara sama anak coc ruang guru""",Negatif
"""Apa gunanya min di kasih minimal nilai IPK klw begini hasilnya???› sakit hati bgt sama skoring""",Negatif
"""Skoringnya tinggi banget eh""",Negatif
"""@mhmd.atharrr tinggi bgtt??ý""",Negatif
"""Kecewa banget yang ipknya udah bagus tapi akreditas prodi dan kamlus harus A""",Negatif
"""anak sy score jg tinggi IPK 3.8 Krn masukan biaya ukt dgn yg d upload beda 2000 pdhal itu biaya admin bank...smoga msh BS d sanggah Krn score masuk hanya d tolak Krn TDK sama biaya ukt dgn  bukti trf""",Negatif
"""@pucuksingkong_ aku s2 kak. ipk 4. KADA LOLOS. wkwkwkw lawakkkk lawakkkk""",Negatif
"""@supernawai mau stimulan sama tuntas sama sama tinggi skornya""",Negatif
"""Skoringnya gak masuk akal.. brp jumlah total penerima beasiswanya nih min? Jdi penasaran beneran ada yg terima gak klo gini? Atau yg terima malah ternyata gak sesuai persyaratan ups ????""",Negatif
"""@dovpb senasib ???› emang gak mau kasih buat S2 klo gini sih..""",Negatif
"""Ini masuknya tahap 1 apa 2?? Tinggi amat wehh tahun lalu ga gini mana aku anak Teknik sangad kacaw kalo harus sempurna:)""",Negatif
"""@itsmayboy emng kocak taun ini aturan""",Negatif
"""Hidup di negeri konoha gini amat ya allah???›""",Negatif
"""skoring diluar nalar.""",Negatif
"""Kayaknya ngk usah aja skalian buat program beasiswanya????""",Negatif
"""Akhhhhhh capeee""",Negatif
"""Tinggi seperti harapan orang tua. ????""",Negatif
"""IPK 3.7 ga lolos alasannya karna data ga valid awoakwk kocak pdhl jelas disitu datanya asli semua yang di scan??????""",Negatif
"""Konyol""",Negatif
"""gak ada adilnya program kaltim tuntas ini. daripada menaikkan standar minimal skoring mending adakan aja program baru untuk kampus dan prodi akreditasi A. percuma kalau kyk gini jadinya. mahasiswa yang udah berusaha dapetin nilai tinggi usaha nya sia sia sekalipun dia dapat IPK 4.0 cuma karena terhalang akreditasi.""",Negatif
"""Skoring diluar nalar ini sudah???›""",Negatif
"""tinggi amay nilai skorsingnya udh kek nyari spek mantu????""",Negatif
"""Skoring nya kacau banget ????""",Negatif
"""gila skoring naik bgt dari tahun lalu buat stimulan prestasi akademik""",Negatif
"""@nbelaaacrs_ naikin skoring sesuka hatii duaarr naik selangit????""",Negatif
"""wkk skoring kocak ipk bagus buat apa dah kl ga dilolosin""",Negatif
"""Nangis karena sudah nungguin dan berharap bnget sama beasiswa ini tapi malah g lolos udh 2 kali g lolos jujur kecewa bnget""",Negatif
"""Anggaran dipotong karena covid? Mau tanya covidnya tahun berapa sih kok potong anggarannya taun ini wkkwkw""",Negatif
"""Ini ndak ada alasannya kh knpa bisa setinggi ini skoringnya dah dftr 2 kli berhrp thn ini dpt malh gak dpt hedeh???›""",Negatif
"""@novelfirmanz anggarannya kanda yg di pangkas wkwk""",Negatif
"""Kemana yah uangnyaa...jgn""???› kok standarnya tiba2 di naikin . Biar sedikit penerimanyaa???""",Negatif
"""jauh banar naiknya dri pd tahun smlam lah batas nilai skoringnya ckckck""",Negatif
"""skoring nya setinggi harapan mamakku min???????""",Negatif
"""Saya kecewa anak saya tidak lolos padahal meng harap banget""",Negatif
"""capee""",Negatif
"""Mang boleh min skoring setinggi itu???›""",Negatif
"""NT GUYS YA YG AMBIL STIMULAN ????""",Negatif
"""@deswita.scj kecewa???›""",Negatif
"""skoring ketinggian :)""",Negatif
"""Padahal butuh banget untuk Tesis???""",Negatif
"""kocak""",Negatif
"""mang boleh min setinggi iniii???›""",Negatif
"""duarr skoring setinggi langit""",Negatif
"""tahun lalu skor nya ga setinggi ini bjirƒ??""",Negatif
"""nih ga ada tahap 2 ya? cape banget""",Negatif
"""anjay tinggi banar""",Negatif
"""Waduh skoringnya tinggi kali""",Negatif
"""Setinggi tahta pejabat???""",Negatif
"""@dovpb sengaja di naikin biar gak dapet""",Negatif
"""Tinggi bnget minn skoringnya""",Negatif
"""mending juknis dirombak ""KHUSUS AKREDITAS A""""",Negatif
"""@angeliaaakp_ khusus yang akre B diminta IPK 5 kali ya ??®œ""",Negatif
"""Mau IPK mu 4 kalo akred kampus/prodi mu lain A kubur jauh"" ekspektasi mu sod ???œ???œ""",Negatif
"""Padahal butuh bgt buat skripsian???›""",Negatif
"""@______why.me______  di Jukniss IPK minimal 3.00..saya pikir juga bakal masuk IPK 3.80 ternyata engga""",Negatif
"""@jl_leha mencurigakan ????""",Negatif
"""@jl_leha iyaa curiga sama cara hitungnya""",Negatif
"""@mutawally_s turut merasakan.""",Negatif
"""@novelfirmanz usaha mengkhianati hasil itu wkwk""",Negatif
"""@kimimak1 itu pang jadi curiga ????""",Negatif
"""@deswita.scj yang daftar banyak jadinya yang akre nya A nilainya makin tinggi dan yang tahun lalu akre B biasa lolos tahun ini gak lolos karena anggaran di potong dan peminat beasiswa semakin banyak""",Negatif
"""@ikikzen asli skoringnya tinggi banget????""",Negatif
"""@dndymancrush iyaa eh kak aku mahasiswa akhir skripsi ipk 3.5 juga ga lolosss padahal nungguin bgt????????""",Negatif
"""@ontynyakamari sudahnya pengumuman nya pas udah kelar skripsi???????? ga lolos lagi????????????""",Negatif
"""@mhmmd.aminllah miris banget nasib ni wkwk""",Negatif
"""Report aja akun bkt ni ga jelas percuma ipk tinggi"" Ga dapet juga""",Negatif
"""@eivannlilje ???›???› parah banget""",Negatif
"""@eivannlilje parah banget ???›???›""",Negatif
"""Akibat besiswa di kaltim di kurangin""",Negatif
"""KACAU KACAU""",Negatif
"""Kapan cairnya min... Jangan solimi atuh ???›""",Negatif
"""masa bilangnya administrasi ga sesuai sama posisi semester? apanya yang ga sesuai sudahh pasti kita perhatikan lah min MASA SEMESTER 5 BILANGNYA SEMESTER 6 SIH KAN GA MUNGKINNNN""",Negatif
"""Mengecewakan""",Negatif
"""Banyak juga yg komplain nih ???? @valprojectx  gak setransparan dulu ya waktu zaman kita kuliah th 2010-2011""",Negatif
"""beasiswa terkocak jatuh kepadaaa BKT 2024????""",Negatif
"""@dikisuganda_ds ipk 3.8 ga lolos bkt anjay wkwk""",Negatif
"""@saniah2806 iyaa kecewa bgt sama skoring tahun ini terlalu tinggi skor 330 pun ga lolos????""",Negatif
"""@saniah2806 IPK 4 gak lolos utk S2 PT B dan prodi B. Minimal PT A/unggul supaya bisa naik skornya jadi 340 dari 331. Tapi akreditas Unmul malah turun wkwkwkw makin nyesel AE ngapa kepikiran kuliah di sini ????""",Negatif
"""Ini parah si IPK tinggi ga menjamin lolos ordalnya kuat""",Negatif
"""ANEH.. ""TIDAK LOLOS VERIFIKASI KARENA MENGUNGGAH BUKAN BUKTI PEMBAYARAN UKT/SPP SATU SEMESTER TERAKHIR(SAAT PENDAFTARAN BEASISWA/TERBARU)/HANYA BERUPA SURAT PEMBERITAHUAN PEMBAYARAN  he""",Negatif
"""p gimana si skoringny kocak ????""",Negatif
"""Kok skoring stimulan akademik tahun ini lebih tinggi daripada tahun kemarin????? sumpah gk lucu ini mah ketinggian batas skoringnya stimulan akademik tahun ini????????""",Negatif
"""@_minniem00 lah scoreku aja 340 galolos kok kak HAHAHAH LUCU BGTTT ASLI TAUN INITUH KAYA DIPRANK???œ""",Negatif
"""@saniah2806 saya ipk 4 dari Unmul karna akreditasi unmul nurun jadi B jg ditolak ???›""",Negatif
"""BKT tahun ini sangat lawak deipada thun thun sebelumnya ??????????????? semngt knak hujatan""",Negatif
"""@chitanuari iya nihh masa sekelas unmul gk ada yg lolos. gk masuk akal bangettt""",Negatif
"""skoring nya awww ngeri btll eh""",Negatif
"""Tau gtu daftar beasiswa yg laen???¨ dah lama skoring ny bgtu pdhl nilaiagi bgus"" nya""",Negatif
"""berjuang biar dapat IPK 4 biar dapat beasiswa . Eh malah gk lolos krna krna prodi masih B. Kenapa gk sekalian ditulis aja khusus untuk akreditasi A? ???""",Negatif
"""bener bener lawak skoring tahun ini""",Negatif
"""@spygame17 setujuuu bangg kecewa  bangetttt""",Negatif
"""skoring minimal lawak ????""",Negatif
"""Percuma ipk 4 ga nyampe juga skornya ????????""",Negatif
"""sedihnya belum ada hilal pengumuman ????""",Negatif
"""Pengumuman beasiswa tahun ini super duper lama dari tahun-tahun sebelumnya....seandainya SKnya akan di serahkan ke PJ Gubernur.... kok blm di tandatangi juga ya ???? apa mungkin nyangkut..... atau lagi otak atik org dalam untuk bisa dapat beasiswanya ????""",Negatif
"""entah harus bersabar sampai kapan lagi menunggu pengumuman ini ya.... sudah kurang lebih 5 bln tp blm terlihat juga hilalnya....Mau sampai kapan digantung seperti ini ??? apa sampai ""janggkring gendong GONG"".... kita butuh biaya publikasi dan penelitian pak/bu..... Tolong lah dengan sangat segera diumumkan......""",negatif
"""Para pelayan publik ini sedang tidak ingin bicara ke masyarakat. Mungkin mereka lupa ketika awal bekerja ada kalimat ""berikan pelayanan terbaik"" dalam janji mereka.""",Negatif
"""STIMULAN KAPAN MENUNGGU VERIFIKASI TERUS""",negatif
"""Nunggu pak isran jadi gubernur kah min baru cair""",negatif
"""Lama bener verifikasi nya""",negatif
"""Kalau emang ga cair ni bkt jangan dipilih lagi si kai itu""",Negatif
"""tahun ini lama banget min pengumumannya tidak seperti tahun kemarin""",Negatif
"""Stimulan mahasiswa kapan ya cairnya? tolong banget ini banyak kebutuhan sbg mahasiswa tingkat akhir. Tahun kemarin aja cepet keluarnya. Kasih informasi dong min""",Negatif
"""Kaltim tuntas pengumumamnya lama bgt""",Negatif
"""min ini minimal skoring kok rataƒ? naik nya jauh bgt ya dri tahun lalu? susah bgt mau dapat klo gini untuk kampus/prodi yg akreditasnya b/c""",Negatif
"""@muayyub_atreides brti semua prodi s2 unmul gak bisa dpt beasiswa kaltim dong ya gr2 skoring begini. ",Negatif
"""Pj cuman umbar janji doang.""",Negatif
"""Cara penilaiannya gmna ya? anak sy nilai tertinggi dikelas tetapi gk lolos. sdgkan nilai yg dibawahnya bisa lolos ???› . sangat gak masuk akal @beasiswakaltim""",Negatif
"""Tahun lalu anak saya dapat tp qodarullah tahun ini gak. Padahal ikut jalur hafizh tp tahun ini diseleksi jg berdasarkan nilai ??ý""",Negatif
"Benar-benar sistem penyaringan dan penyaluran tahun ini membingungkan,",Negatif
@donrachman8 stimulan akademik tahap IV tipis banget tuh turunnya wahaha syedih,Negatif
"@kyneun07 gini deh kak, contoh kakaknya di atas berarti bukan kategori miskin dan dia jujur untuk pilih prestasi akademik. Yang di sayangkan kakaknya itu, buat apa bersaing kalau nyatanya kesempatan 1% di tuntas prestasi akademik dengan akreditasi B hampir gaaada kak, gitu lo. ga fair. jadi cuman orang kaya yang akreditasi A aja yang boleh gitu? mending di kasih tau, jangan lari ke kategori lain",Negatif
"skoring nya udah di atas ketentuan, tetap ga lolos???Ÿ????",Negatif
"Kok S2 stimulan prestasi 3,31 tapi S3 3,19? Gak masuk akal????",Negatif
Kenapa yg S2 skor nya tinggi bgt sii,Negatif
"@dwiemeynina masa' Unmul kebanggaan Kaltim, ga diperhitungkan dpt BKT tuntas meskipun IPK nilai tertinggi",Negatif
Kira2 yg di pangkas berapa banyak nih yaa????????????,Negatif
siapa yg menjadi prioritas beasiswa???apakah putraputri kaltim?? kuliah dikampung sendiri aja ngga bisa dpt bktƒ??.bgmana dg anak asli kaltim dari kab/kota yg kuliah di unmul,Negatif
Daftar stimulan prestasi non akademik skoring 398.579 tapi gak lolos verifikasi dgn alasan sertifikat tidak sesuai juknis. Baru sadar walau juara 1 internasional kalau penyelenggaranya bukan dari kemendikbud etc ditolak :) apa effort supaya dpt juara 1 internasional dgn penyelenggara kampus etc beda gitu ya lebih effortless kali ya :),Negatif
YG GA TERIMA ????,Negatif
Perlu diaudit tim independen,Negatif
rupanya anggaran dipotong pj????,Negatif
oh ternyata dananya dipotong dari 250M jadi 200M ama PJ???? oh gitu ya...,Negatif
"Kn sdh ku bilang tdi, kita satu kampus, satu prodi, satu kelas jga, daftar nya barengan di katagori yg sama, IPK ku lebih tinggi, nah skor nya kok bisa tinggi dia, gtu... Cara hitungnya itu gimna? Kok bisa? Skor rendah gara apa? Klo di bilang unggul siapa IPK ku lebih tinggi ???›""",Negatif
dananya di pangkas 50m dlu gasii,Negatif
"@saishonoko_ katanya begitu kak.. Yg tahun lalu 250 M, tahun ini dipangkas sama PJ gubernur jadi 200 M.",Negatif
"TOLONG JELASKAN SASARAN TARGET TUJUAN BEASISWA KALTIM TAHUN INI ITU SIAPA?
Kalau skoring kayak gitu kan jelas semua mahasiswa/in Universitas Mulawarman ga berhak dapat.",Negatif
dananya dikorupsi ???,Negatif
"Tolong jelaskan skema penilaiannya seperti apa? Kalau memang ada faktor lain yang bukan kesalahan dari kita, misal faktor politik atau semacamnya, sangat disayangkan. Disrespectful. Gimana kita mau membanggakan daerah kita?",Negatif
"Perasaan dulu ga parah banget permintaan scoring nya, sengaja bgt biar dikit pengeluaran ????",Negatif
"Temen gua dpt beasiswa nya, di kampus yg sama, prodi yg sama, tpi IPK gw lebih tinggi, tpi malah aq gk yg dpt, ini gimna yaa, apakah IPK sekarang gk ngaruh? Padahal kita jga daftar nya barengan dan katagori yg sama. Tolong penjelasannya knp aq gk dpt? IPK 3.88 kok biasa gk dpt ya",Negatif
Kai @isran.noor.official ???? skoringnya terlalu banar kai...help,Negatif
"@whooopsiw cek Anggaranya juga,tahun ini lebih rendah dari tahun kemaren, 500m(2023),200m(2024) dan jatahnya 31.044 dibandingkan tahun kemaren 111.871",Negatif
"kerjaaan syapa sih ini???????????? @nadiemmakarim  tolong bapak di tinjau ini ada apa gerangan beasiswa judulnya tapi ya gitu, mmg yg terbantu itu jd cm masyarakt miskin sama yg IPk 5 pak ai, kaum tengah2 ini sengsara dapat kebijakan pemerintah kami ini @nadiemmakarim  tolong pak bantu2 lah di kaji ada apa ini?????",Negatif
hasil skoring saya 303.091 dgn IPK 3.64 harus gimana lagi biar dpt beasiswa ini ya cuma dpt hikmahnya aja????,Negatif
"Akreditasi A UGM tidak memenuhi scoring, semoga Kai kembali terpilih, terlalu mmng PJ Gubernur skrg",Negatif
univ & prodi akre A juga gak ngaruh ya? padahal jelas bgt tertera min ipk 3.25 yang artinya diatas itu masih masuk skoring tp di web tidak masuk batas skoring:)),Negatif
"Min kasih kesempatan stimulain umum yang ipk nya 2,75, kasihan ipk tidak tinggi gak sampai 3 :(",Negatif
"Skoringnya di naikkan supaya mahasiswa @unmul banyak yg tidak lolos, ada apa dengan @unmul dan @pemprov_kaltim ?",Negatif
"tolong dong admin dan para pemerintah yth. kasih tau bakal ada gelombang 2 apa ga, trus transparan lah beneran ada ga skoring segitu ada yg dapat jangan jangan ntar uda anggaran di potong eh yg dapat beasiswa juga cuma dikit. trus duit nya kemana tuh wkwkwkwk",Negatif
ADMINNNN AAARRGGG NANGISS BNGT BUTUH BUAT SKRIPSI ????????,Negatif
"Anak saya juga IPK 3.80 tidak masuk batas skorsing, mohon pencerahannya berapa batas akhirnya, karena saya liat di pengumuman waktu pendaftaran 3.25 bisa masuk",Negatif
"Sumber daya alam kami di ambil , tongkang tiap hari lewat , masa untuk kepentingan beasiswa anak kaltim saja tidak merata?",Negatif
"@dovpb kak aku jg S2 tp stimulan, ipk 3.5an, akre prodi dan PT A ga dapet???ª. Heran bgt skoring untuk S2 naik bgt dan jauh di atas S3 malah wkwkwk",Negatif
@novelfirmanz usaha mengkhianati hasil itu wkwk,Negatif
"skoring nya ngeri, tinggi bangett",Negatif
"@muayyub_atreides biarin sy di bilang sempit pemikiran, spertinya beliau bukan mahasiswa pemburu beasiswa tahun ini, jd gak akan paham rasanya jdi kita2 yg berjuang untuk mendapatkan beasiswa 2024 ????",Negatif
"kasian banget yang IPK nya 4 pun ngga bakal lolos, gara gara akreditasi kampus",Negatif
haha saya harus cari duit dimana buat bayat UKT selanjutnya????,Negatif
"yg dapat Yg IPK 4 aja, luar biasa ya beasiswa kali ini, sangat tidak manusiawi... pd hal itu jg anggaran negara tp kalian mempersulit. thn ini beasis payahnya keterlaluan",Negatif
Sy pendaftar jg. Td masuk skoring. Sy masuk di s. 2 unmul. Dn akhirx tdk masuk skoring,Negatif
Indikator penilaian skoring ini apa sj itemnya.? Junlah skoring kita gak di munculkan.,Negatif
@alpatnoor itu sudah tahun sebelumnya aman aja kenapa kah tahun ini kada beres untuk persyaratan masi sama kenapakah kada lolos ????,Negatif
Mengheningkan cipta dimulai,Negatif
"ipk 3,9 tetap ga lolos karna akre B, sedih bgt????",Negatif
"duh gak lolos masuk skor nihh, psti temenku yg kaya raya masuk deh.",Negatif
@fionadika dananya di sunat buat IKN???œ,Negatif
@firlyannda @vitriaa24 ah udh ga kaget knapa skoringnya setinggi ini wkwk ytta ???,Negatif
"Gaada kasian kasiannya kalian sama hak orang yang harusnya dibantu sama program tapi malah kalian salah gunakan kalian sampingkan,heh kalian yang kerja di bawah naungan beasiswa ini kalian kira duit yang kalian makan itu HALAL?",Negatif
"jangan diam diam aja kalian, kalian gatau isi hati orang kedepannya kalian bakal jadi apa!",Negatif
"Akreditasi prodi spesialis A, dari UI akreditasi A, IPK 3.6+ gak lolos...
Ruined my dreams",Negatif
"Lucu aja sih,iya kl di sini banyak univ dengan akreditasi A gpp ya....lha akre aja bnyakan B (sukur2 ini sudah) malah dinaikin skoringnya..maunya apa?",Negatif
Emang ada yg lolos skoring kayak gini...lha IPK 4 akre B aja gak lolos,Negatif
"Lah ga lolos verifikasi administrasi krna biaya ukt ga sesuai sma yg Bru, kn kta ngitutin  byar SPP pas awl buka pendaftaran. Sedih bnget pdhl skor tinggi",Negatif
Kasian yg univnya non unggulan/prodinya bukan akre A,Negatif
"Transparansi nya mana nih kak banyak yg skoring diatas ambang batas, banyak yg sudah sesuai sama syarat ketentuan tpi ko ga lolos, klo emang anggaran kurang harusnya ada transparansi dong siapa aja yg dapat dan nilai skorsing nya berapa harus nya gitu biar fair.",Negatif
SD ga ada yg lolos kah ini ???›,Negatif
"@abdullatiif04 yg tuntas jg lebih tinggi kok lihat sj skoring tuntas S1 335 & S2 334.. sy S2 akuntansi unmul IPK 3,9 skoring 326,6 gak dpt jg..",Negatif
"Dapatnya sedikit tapi syarat nilainya tinggi banget, anakku sd ga dpt ????... Makanya dulu ak wkt kuliah mending ngajuin beasiswa diperush ortu kerja, dptnya banyak euy 3kali lipat dr ini ???",Negatif
Apa gunanya min di kasih minimal nilai IPK klw begini hasilnya???› sakit hati bgt sama skoring,Negatif
"Gak jelas seleksi nilai nya, syarat dan ketentuan nilai nya gk sesuai kenyataan yg nilai nya lebih rendah lolos yg tinggi gk lolos padahal satu lingkungan pendidikan ???œ",Negatif
"Duitnya lagi dibutuh2in bgt buat bayar semester, malah zonk, kocak bgtt tahun inii????",Negatif
"skoringnya kacau, padahal cukup berharap karena sudah mati-matian ngejar IPK 4 ??????¯",Negatif
"jangan jahat pak/bu, kasian orang tua kita""",Negatif
@alpatnoor benar beasiswa banyak aturan...mending sekolah gratis aja dari pada beasiswa,Negatif
Kecewa banget yang ipknya udah bagus tapi akreditas prodi dan kampus harus A,Negatif
"bilang aja dari awal kalau khusus kampus / prodi akreditas A, Rugi beli materai",Negatif
"tinggu kali ya skoring nya, gimana ya yang ngarepin besiswa tapi malah ga lolos karena skoring nya tinggi banget huhuhu",Negatif
@pucuksingkong_ aku s2 kak. ipk 4. KADA LOLOS. wkwkwkw lawakkkk lawakkkk,Negatif
"Ipk 3.64 tp gegara prodi baru naik A malah ga lolos... 3x daftar ikutan ga lolos, kecewa berat... Butuh bgt buat skripsian pdhl ????????",Negatif
"bela2in pertahanin IPK 4 tetap gk lolos, jadi males kuliah ????",Negatif
"@novelfirmanz mas kitani kuliah di daerah kaltim, tpi mas cb liat di web akre kampus dan prodi universitas di kaltim rata rata B mas dan yg A rata rata luar kaltim, kami yg tidak lolos dikarenakan skoring kecewa mas karena banyak beasiswa yg kami tolak demi ini, siapa si mas yg ga pede ipk 4 ga daftar kaltimtuntas? tidak usah munafik mas kita ni,seharusnya beasiswa kaltim bedakan kampus luar kaltim dan dalam kaltim agar adil mas, mau sampe spek profesor jg ga lolos mas, klo mas nya nyalahin kampus atau universitas nya gbsa mas, salahin dinas pendidikan tuh kenapa kualitas pendidikan di kaltim bisa segitu untuk mahasiswa, intinya harus adil, bnyk mas mahasiswa yg nolak beasiswa lain demi kaltimtuntas kasian asli",Negatif
"@dovpb Pengalaman tmn daftar tuntas akademik S2 thn 2021. dg akreditasi kmpus A dan prodi unggul plus ipk tinggi aja bisa gak lulus. Itu yg emg hrus jdi pertimbangan awal mau masuk pascasarjana di kampus mana dg bantuan BKT. Akreditasi kampus dan prodi sepertinya jdi pertimbangan paling awal buat lulus. Kan tau sendiri yaa kalau masuk S2 gak sesusah masuk S1, jd pasti bersaingnya sama anak UI, UGM, IPB, ITB dll. Terlebih skrng anggarannya dipotong, dg UKT yg jg udah pada naik drastis. Jadi kemungkinan selain udh kalah dg yg akreditasinya A, uang anggarannya jg udh abis. Beda sama tahun lalu, masih ada kesempatan dg tahap 2 krn anggarannya lebih. Agak kaget jg Unmul turun jadi B. Semoga bisa menjawab dan dapat beasiswa di lain tempat",Negatif
Skoringnya gak masuk akal.. brp jumlah total penerima beasiswanya nih min? Jdi penasaran beneran ada yg terima gak klo gini? Atau yg terima malah ternyata gak sesuai persyaratan ups ????,Negatif
